GroupCode,Customer#,ItemNumber,Quantity,CustomerPO,Name,ShiptoAddress1,ShiptoAddress2,ShiptoAddress3,City,State,ZIP,Country,Contactname,Contact,OrderType,ServiceLevelofShipment,AllocationRule,CustomerInHandsDate,OnorBeforeIndicator(OorB),MustShipDate,AddressOver-Ride,Carrier,ShipFromWarehouse,GL-Code,ConfirmationEmail,ShipConfirmationEmail,Site
FRRA,99501793,JF1503,1,FRYYRACE26-01,Fry's,Fry's,3100 N Glassford Rd,,Prescott Valley,AZ,86314,US,,9284453010,GO,GND,O,02.10.2026,B,,Y,,,,,farrah.trussoni@ferrara.com,2906
FRRA,99501793,JF1937,1,FRYYRACE26-01,Fry's,Fry's,3100 N Glassford Rd,,Prescott Valley,AZ,86314,US,,9284453010,GO,GND,O,02.10.2026,B,,Y,,,,,farrah.trussoni@ferrara.com,2906
FRRA,99501793,JF1950,1,FRYYRACE26-01,Fry's,Fry's,3100 N Glassford Rd,,Prescott Valley,AZ,86314,US,,9284453010,GO,GND,O,02.10.2026,B,,Y,,,,,farrah.trussoni@ferrara.com,2906
FRRA,99501793,JF1503,1,FRYYRACE26-02,Fry's,Fry's,26300 Norterra Pkwy,,Phoenix,AZ,85326,US,,9282517070,GO,GND,O,02.10.2026,B,,Y,,,,,farrah.trussoni@ferrara.com,2906
FRRA,99501793,JF1937,1,FRYYRACE26-02,Fry's,Fry's,26300 Norterra Pkwy,,Phoenix,AZ,85326,US,,9282517070,GO,GND,O,02.10.2026,B,,Y,,,,,farrah.trussoni@ferrara.com,2906
FRRA,99501793,JF1950,1,FRYYRACE26-02,Fry's,Fry's,26300 Norterra Pkwy,,Phoenix,AZ,85326,US,,9282517070,GO,GND,O,02.10.2026,B,,Y,,,,,farrah.trussoni@ferrara.com,2906
FRRA,99501793,JF1503,1,FRYYRACE26-03,Fry's,Fry's,4724 N 20Th St,,Phoenix,AZ,85016,US,,6022630766,GO,GND,O,02.10.2026,B,,Y,,,,,farrah.trussoni@ferrara.com,2906
FRRA,99501793,JF1937,1,FRYYRACE26-03,Fry's,Fry's,4724 N 20Th St,,Phoenix,AZ,85016,US,,6022630766,GO,GND,O,02.10.2026,B,,Y,,,,,farrah.trussoni@ferrara.com,2906
FRRA,99501793,JF1950,1,FRYYRACE26-03,Fry's,Fry's,4724 N 20Th St,,Phoenix,AZ,85016,US,,6022630766,GO,GND,O,02.10.2026,B,,Y,,,,,farrah.trussoni@ferrara.com,2906
FRRA,99501793,JF1503,1,FRYYRACE26-04,Fry's,Fry's,1455 N Higley Rd,,Gilbert,AZ,85234,US,,4808922202,GO,GND,O,02.10.2026,B,,Y,,,,,farrah.trussoni@ferrara.com,2906
FRRA,99501793,JF1937,1,FRYYRACE26-04,Fry's,Fry's,1455 N Higley Rd,,Gilbert,AZ,85234,US,,4808922202,GO,GND,O,02.10.2026,B,,Y,,,,,farrah.trussoni@ferrara.com,2906
